Name,Avg,Humanities,NaturalSciences,Art & Sports,Engineering,Medicine
한국폴리텍II대학인천캠퍼스,2318,0,0,0,2318,0
한국폴리텍III대학강릉캠퍼스,2561,0,0,0,2561,0
한국폴리텍III대학원주캠퍼스,0,0,0,0,0,0
한국폴리텍III대학춘천캠퍼스,2261,0,0,0,2261,0
한국폴리텍IV대학대전캠퍼스,2261,0,0,0,2261,0
한국폴리텍IV대학아산캠퍼스,2261,0,0,0,2261,0
한국폴리텍IV대학청주캠퍼스,2261,0,0,0,2261,0
한국폴리텍IV대학홍성캠퍼스,2011,0,0,0,2011,0
한국폴리텍V대학광주캠퍼스,2261,0,0,0,2261,0
한국폴리텍V대학김제캠퍼스,2261,0,0,0,2261,0
한국폴리텍V대학목포캠퍼스,2011,0,0,0,2011,0
한국폴리텍V대학익산캠퍼스,2261,0,0,0,2261,0
한국폴리텍VI대학구미캠퍼스,2261,0,0,0,2261,0
한국폴리텍VI대학대구캠퍼스,2261,0,0,0,2261,0
한국폴리텍VI대학영주캠퍼스,2011,0,0,0,2011,0
한국폴리텍VII대학부산캠퍼스,2261,0,0,0,2261,0
한국폴리텍VII대학울산캠퍼스,2261,0,0,0,2261,0
한국폴리텍VII대학창원캠퍼스,2261,0,0,0,2261,0
한국폴리텍특성화대학바이오캠퍼스,2411,0,0,0,2411,0
한국폴리텍특성화대학섬유패션캠퍼스,2261,0,0,0,2261,0
한국폴리텍특성화대학항공캠퍼스,2316,0,0,0,2316,0
한림성심대학교,5529,5082,5803,5887,5640,0
한양여자대학교,6098,5330,6447,6576,6522,0
한영대학,4993,4615,5292,4804,5246,0
혜전대학교,5759,4583,6076,0,5917,0
호산대학교,5357,4702,6079,5816,5816,0
